Company,OS,Processor,TypeName,VC,Ram,TS,Weight,HDD,SSD,IPS,Inches,PPI,Price
Apple,MacOS,Intel Core i5,Ultrabook,Intel,8,0,1.37,0,128,1,13.3,227.0,71378.6832
Apple,MacOS,Intel Core i5,Ultrabook,Intel,8,0,1.34,0,0,0,13.3,128.0,47895.5232
HP,OtherOS,Intel Core i5,Notebook,Intel,8,0,1.86,0,256,0,15.6,141.0,30636.0
Apple,MacOS,Intel Core i7,Ultrabook,AMD,16,0,1.83,0,512,1,15.6,218.0,135195.33599999998
Apple,MacOS,Intel Core i5,Ultrabook,Intel,8,0,1.37,0,256,1,13.3,227.0,96095.808
Acer,WindowsOS,AMD Processor,Notebook,AMD,4,0,2.1,512,0,0,15.6,100.0,21312.0
Apple,MacOS,Intel Core i7,Ultrabook,Intel,16,0,2.04,0,0,1,15.6,218.0,114017.6016
Apple,MacOS,Intel Core i5,Ultrabook,Intel,8,0,1.34,0,0,0,13.3,128.0,61735.536
Asus,WindowsOS,Intel Core i7,Ultrabook,Nvidia,16,0,1.3,0,512,0,14.0,157.0,79653.59999999999
Acer,WindowsOS,Intel Core i5,Ultrabook,Intel,8,0,1.6,0,256,1,14.0,157.0,41025.6
HP,OtherOS,Intel Core i5,Notebook,Intel,4,0,1.86,512,0,0,15.6,100.0,20986.992
HP,OtherOS,Intel Core i3,Notebook,Intel,4,0,1.86,512,0,0,15.6,141.0,18381.0672
Apple,MacOS,Intel Core i7,Ultrabook,AMD,16,0,1.83,0,256,1,15.6,218.0,130001.6016
Dell,WindowsOS,Intel Core i3,Notebook,AMD,4,0,2.2,0,256,0,15.6,141.0,26581.392
Apple,MacOS,Other Intel Processor,Ultrabook,Intel,8,0,0.92,0,256,1,11.6,234.0,67260.672
Apple,MacOS,Intel Core i5,Ultrabook,Intel,8,0,1.37,0,256,1,13.3,227.0,80908.344
Dell,WindowsOS,Intel Core i7,Notebook,AMD,8,0,2.2,0,256,0,15.6,141.0,39693.6
Apple,MacOS,Intel Core i7,Ultrabook,AMD,16,0,1.83,0,512,1,15.6,218.0,152274.24
Lenovo,OtherOS,Intel Core i3,Notebook,Nvidia,8,0,2.2,1024,0,0,15.6,141.0,26586.72
Dell,WindowsOS,Intel Core i5,Ultrabook,Intel,8,1,1.22,0,128,1,13.3,166.0,52161.12
Asus,WindowsOS,Other Intel Processor,Notebook,Intel,2,0,0.98,0,0,0,11.6,135.0,10224.432
Lenovo,WindowsOS,Intel Core i5,Gaming,Nvidia,8,0,2.5,1024,128,1,15.6,141.0,53226.72
HP,OtherOS,AMD Processor,Notebook,AMD,4,0,1.86,512,0,0,15.6,100.0,13746.24
Dell,WindowsOS,Intel Core i5,Convertible,Intel,8,1,1.62,0,256,0,13.3,166.0,43636.32
HP,WindowsOS,Intel Core i7,Ultrabook,Intel,8,0,1.91,0,256,0,15.6,141.0,35111.52
Dell,WindowsOS,Intel Core i3,Notebook,Intel,4,0,2.3,1024,0,0,15.6,100.0,22305.1392
Apple,MacOS,Intel Core i5,Ultrabook,Intel,8,0,1.35,0,0,0,13.3,128.0,58554.72
Dell,WindowsOS,Intel Core i5,Notebook,AMD,8,0,2.2,0,256,0,15.6,141.0,42624.0
Dell,WindowsOS,Intel Core i7,Ultrabook,Intel,8,0,1.88,0,256,0,15.6,141.0,69157.44
HP,WindowsOS,Intel Core i5,Notebook,Nvidia,8,0,2.5,1024,0,0,17.3,127.0,47738.88
Chuwi,WindowsOS,Other Intel Processor,Notebook,Intel,4,0,1.89,0,0,0,15.6,141.0,13053.0672
Asus,WindowsOS,AMD Processor,Notebook,AMD,2,0,1.65,0,0,0,14.0,112.0,10602.72
HP,WindowsOS,AMD Processor,Notebook,AMD,4,0,2.71,512,0,0,17.3,127.0,23389.92
Dell,WindowsOS,Intel Core i7,Ultrabook,Intel,16,1,1.2,0,512,0,13.3,276.0,99580.32
Apple,MacOS,Intel Core i5,Ultrabook,Intel,8,0,1.35,0,0,0,13.3,128.0,53173.44
Lenovo,WindowsOS,Other Intel Processor,Notebook,Intel,4,0,1.44,0,0,0,14.0,112.0,13266.72
Acer,LinuxOS,Intel Core i3,Notebook,Intel,4,0,2.1,1024,0,0,15.6,100.0,19553.76
Dell,WindowsOS,Intel Core i5,Notebook,AMD,8,0,2.8,1024,128,1,17.3,127.0,52161.12
HP,WindowsOS,Intel Core i5,Notebook,Intel,4,0,1.86,1024,0,0,15.6,100.0,26037.4032
HP,WindowsOS,Intel Core i5,Notebook,Nvidia,8,0,2.1,0,256,0,15.6,141.0,46833.12
Asus,LinuxOS,Intel Core i3,Notebook,Intel,4,0,2.0,1024,0,0,15.6,141.0,20725.92
Dell,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.65,1024,256,1,15.6,141.0,79866.72
Asus,LinuxOS,Intel Core i5,Notebook,Nvidia,8,0,2.3,1024,0,0,15.6,100.0,27864.9072
Acer,WindowsOS,Intel Core i5,Notebook,Intel,4,0,2.2,0,256,1,15.6,141.0,36336.96
Dell,WindowsOS,Intel Core i5,Convertible,Nvidia,12,1,2.77,1024,0,0,17.3,127.0,53226.72
Apple,MacOS,Intel Core i5,Ultrabook,Intel,8,0,1.37,0,256,1,13.3,227.0,75604.31999999999
Lenovo,OtherOS,Intel Core i3,Notebook,Intel,4,0,2.2,0,128,0,15.6,100.0,19660.32
Asus,WindowsOS,AMD Processor,Gaming,AMD,8,0,3.2,1024,256,0,17.3,127.0,69210.72
Dell,WindowsOS,Intel Core i5,Notebook,AMD,4,0,2.3,0,256,0,15.6,141.0,34045.92
Asus,WindowsOS,Other Intel Processor,Notebook,Nvidia,4,0,2.8,1024,0,0,17.3,91.0,24828.48
Lenovo,OtherOS,Other Intel Processor,Convertible,Intel,4,1,0.69,0,0,1,11.6,195.0,16996.32
Acer,WindowsOS,Intel Core i7,Notebook,Nvidia,8,0,2.2,0,256,1,15.6,141.0,44808.48
HP,WindowsOS,AMD Processor,Notebook,AMD,4,0,1.86,0,256,0,15.6,141.0,21231.5472
HP,WindowsOS,Intel Core i7,Notebook,Intel,8,0,1.49,0,512,0,13.3,166.0,58767.84
Acer,WindowsOS,Intel Core i3,Notebook,Intel,4,0,2.4,1024,0,0,15.6,100.0,20459.52
Dell,WindowsOS,Intel Core i7,Notebook,AMD,8,0,2.13,0,256,0,15.6,141.0,40908.384
HP,WindowsOS,Intel Core i3,Notebook,Intel,4,0,1.91,0,128,0,15.6,141.0,23389.92
Asus,WindowsOS,Intel Core i5,Notebook,Intel,4,0,2.0,0,256,0,15.6,100.0,31232.203200000004
MSI,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.43,2048,256,0,17.3,127.0,130482.72
Asus,LinuxOS,Intel Core i3,Notebook,Intel,4,0,2.0,0,256,0,15.6,141.0,22111.2
Dell,WindowsOS,Intel Core i7,Notebook,AMD,16,0,2.8,2048,256,0,17.3,127.0,69210.72
Dell,WindowsOS,Intel Core i5,Ultrabook,Intel,8,0,1.7,0,256,0,14.0,157.0,46833.12
Lenovo,OtherOS,Intel Core i3,Notebook,Intel,8,0,1.7,0,256,1,14.0,157.0,31914.72
Asus,WindowsOS,Intel Core i5,Notebook,Intel,8,0,1.4,0,256,0,14.0,157.0,50136.48
HP,WindowsOS,Intel Core i5,Notebook,Intel,8,0,1.86,0,256,0,15.6,141.0,36763.2
Asus,WindowsOS,Intel Core i7,Ultrabook,Nvidia,16,0,1.8,0,512,0,15.6,141.0,105654.24
HP,WindowsOS,Intel Core i3,Notebook,AMD,4,0,1.86,512,0,0,15.6,100.0,23373.4032
HP,WindowsOS,Other Intel Processor,Notebook,Intel,4,0,1.44,0,32,0,14.0,112.0,12201.12
Lenovo,WindowsOS,Intel Core i5,Notebook,Intel,4,0,1.9,1024,0,0,15.6,141.0,29250.72
Asus,LinuxOS,Intel Core i7,Gaming,Nvidia,12,0,3.0,1024,0,0,17.3,127.0,50562.72
Microsoft,WindowsOS,Intel Core i5,Ultrabook,Intel,4,1,1.252,0,128,0,13.3,204.0,58021.92
Dell,WindowsOS,Intel Core i7,Ultrabook,AMD,8,0,1.4,0,256,1,13.3,166.0,50882.4
Dell,WindowsOS,Intel Core i7,Notebook,AMD,8,0,2.2,0,256,0,15.6,141.0,46353.6
MSI,WindowsOS,Intel Core i5,Gaming,Nvidia,8,0,2.7,1024,128,0,17.3,127.0,58341.6
Acer,WindowsOS,Intel Core i3,Notebook,Intel,8,0,2.1,1024,0,0,14.0,112.0,20725.92
Asus,WindowsOS,Intel Core i7,Gaming,Nvidia,8,0,2.2,1024,0,0,15.6,141.0,50562.72
Lenovo,OtherOS,Intel Core i5,Notebook,Intel,8,0,2.2,2048,0,0,15.6,141.0,27652.32
Dell,WindowsOS,Intel Core i7,Notebook,Intel,8,0,2.02,1024,128,0,15.6,141.0,45554.4
Acer,WindowsOS,Intel Core i3,Notebook,Nvidia,4,0,2.2,1024,0,0,15.6,141.0,28238.4
HP,WindowsOS,Intel Core i5,Notebook,Nvidia,8,0,2.5,1024,128,0,17.3,127.0,52054.56
Dell,WindowsOS,Intel Core i5,Ultrabook,Intel,8,0,1.88,0,256,1,15.6,141.0,58403.4048
Apple,MacOS,Intel Core i5,Ultrabook,Intel,8,0,0.92,0,512,1,11.6,234.0,80452.8
HP,WindowsOS,Intel Core i5,Notebook,Intel,8,0,1.63,0,256,0,14.0,157.0,45820.8
Lenovo,WindowsOS,AMD Processor,Notebook,AMD,4,0,2.2,0,128,0,15.6,141.0,21258.72
Acer,WindowsOS,AMD Processor,Notebook,AMD,4,0,2.1,1024,0,0,15.6,100.0,21045.6
Dell,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.65,1024,128,1,15.6,141.0,71874.72
HP,WindowsOS,Intel Core i7,Ultrabook,Nvidia,8,0,1.83,0,256,1,15.6,141.0,37242.72
HP,WindowsOS,Intel Core i5,Notebook,Intel,8,0,1.96,0,256,0,15.6,141.0,31914.1872
Asus,WindowsOS,Intel Core i7,Gaming,Nvidia,16,0,2.2,1024,128,1,15.6,141.0,77202.72
Dell,WindowsOS,Intel Core i7,Ultrabook,Intel,8,0,1.21,0,256,1,13.3,166.0,87858.72
Asus,WindowsOS,AMD Processor,Gaming,AMD,8,0,2.45,1024,0,0,15.6,141.0,37242.72
Acer,WindowsOS,Intel Core i7,Notebook,Nvidia,8,0,2.2,1024,0,0,15.6,141.0,36709.92
HP,WindowsOS,Intel Core i7,Notebook,Intel,16,0,1.49,0,512,0,13.3,166.0,63776.16
Dell,WindowsOS,Intel Core i5,Gaming,Nvidia,8,0,2.65,0,256,0,15.6,141.0,63669.6
Asus,WindowsOS,Intel Core i7,Ultrabook,Intel,8,0,1.25,0,256,0,14.0,157.0,55890.72
Acer,WindowsOS,Intel Core i5,Convertible,Intel,8,1,1.5,0,256,1,13.3,166.0,45128.16
Dell,LinuxOS,Intel Core i7,Notebook,AMD,8,0,2.2,1024,0,0,15.6,141.0,31962.672
Dell,LinuxOS,Intel Core i3,Notebook,AMD,4,0,2.2,0,256,0,15.6,141.0,25840.8
Asus,WindowsOS,Intel Core i3,Notebook,Nvidia,6,0,2.0,0,256,0,15.6,141.0,30742.56
